utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
electric,customer,,,,,,,,,,1514.6622,1514.6622,$/month,Estimated from multiplying cost of 1 meter for 1 day by 30 days
electric,demand,peak-summer,0.0,0.0,6.0,9.0,16.0,21.0,0.0,6.0,26.8,26.8,$/kW,
electric,demand,part-peak-summer,0.0,0.0,6.0,9.0,14.0,16.0,0.0,6.0,5.32,5.32,$/kW,
electric,demand,part-peak-summer,0.0,0.0,6.0,9.0,21.0,23.0,0.0,6.0,5.32,5.32,$/kW,
electric,demand,maximum,0.0,0.0,1.0,12.0,0.0,24.0,0.0,6.0,20.7,20.7,$/kW,
electric,demand,peak-winter1,0.0,0.0,1.0,5.0,16.0,21.0,0.0,6.0,1.78,1.78,$/kW,
electric,demand,peak-winter2,0.0,0.0,10.0,12.0,16.0,21.0,0.0,6.0,1.78,1.78,$/kW,
electric,energy,,0.0,0.0,6.0,9.0,0.0,14.0,0.0,6.0,0.09816,0.09816,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,14.0,16.0,0.0,6.0,0.11735,0.11735,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,16.0,21.0,0.0,6.0,0.14484,0.14484,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,21.0,23.0,0.0,6.0,0.11735,0.11735,$/kWh,
electric,energy,,0.0,0.0,6.0,9.0,23.0,24.0,0.0,6.0,0.09816,0.09816,$/kWh,
electric,energy,,0.0,0.0,1.0,2.0,0.0,16.0,0.0,6.0,0.09822,0.09822,$/kWh,
electric,energy,,0.0,0.0,1.0,2.0,21.0,24.0,0.0,6.0,0.09822,0.09822,$/kWh,
electric,energy,,0.0,0.0,1.0,5.0,16.0,21.0,0.0,6.0,0.12734,0.12734,$/kWh,
electric,energy,,0.0,0.0,3.0,5.0,0.0,9.0,0.0,6.0,0.09822,0.09822,$/kWh,
electric,energy,,0.0,0.0,3.0,5.0,9.0,14.0,0.0,6.0,0.0569,0.0569,$/kWh,
electric,energy,,0.0,0.0,3.0,5.0,14.0,16.0,0.0,6.0,0.09822,0.09822,$/kWh,
electric,energy,,0.0,0.0,3.0,5.0,21.0,24.0,0.0,6.0,0.09822,0.09822,$/kWh,
electric,energy,,0.0,0.0,10.0,12.0,0.0,16.0,0.0,6.0,0.09822,0.09822,$/kWh,
electric,energy,,0.0,0.0,10.0,12.0,21.0,24.0,0.0,6.0,0.09822,0.09822,$/kWh,
electric,energy,,0.0,0.0,10.0,12.0,16.0,21.0,0.0,6.0,0.12734,0.12734,$/kWh,
gas,customer,,,,,,,,,,148.6554,148.6554,$/month,Estimated from multiplying cost for 1 day by 30 days
gas,energy,,0.0,0.0,1.0,3.0,0.0,24.0,0.0,6.0,1.68736,0.5958865408520737,$/therm or $/m3,
gas,energy,,0.0,0.0,4.0,10.0,0.0,24.0,0.0,6.0,1.54031,0.5439562379929936,$/therm or $/m3,
gas,energy,,0.0,0.0,11.0,12.0,0.0,24.0,0.0,6.0,1.68736,0.5958865408520737,$/therm or $/m3,
gas,energy,,4000.0,11326.72,1.0,3.0,0.0,24.0,0.0,6.0,1.3126,0.46354107808791956,$/therm or $/m3,
gas,energy,,4000.0,11326.72,4.0,10.0,0.0,24.0,0.0,6.0,1.22418,0.43231579839529893,$/therm or $/m3,
gas,energy,,4000.0,11326.72,11.0,12.0,0.0,24.0,0.0,6.0,1.3126,0.46354107808791956,$/therm or $/m3,
